transaction_id,customer_id,amount,transaction_hour,account_age_days,previous_transaction_count,previous_chargeback_count,failed_payment_count,device_account_count,IP_account_count,billing_shipping_match,IP_shipping_match,payment_method,customer_country,shipping_country,device_age_days,transaction_frequency,average_transaction_amount,amount_deviation,is_new_device,is_new_location,velocity_1h,velocity_24h,previous_fraud_flag,chargeback_label
TXN-10000,CUSTOMER-10861,6108.57,17,448,40,0,1,1,5,1,1,credit_card,IN,IN,215,1.39,4094.3,1.49,0,0,2,2,0,1
TXN-10001,CUSTOMER-13773,3361.56,16,105,20,0,1,1,1,1,0,credit_card,US,US,346,0.35,3345.63,1.0,0,0,0,3,0,1
TXN-10002,CUSTOMER-13093,2206.25,6,765,15,0,1,1,7,1,1,net_banking,US,US,226,0.25,2015.25,1.09,0,0,2,2,0,1
TXN-10003,CUSTOMER-10467,4670.4,17,426,14,0,0,1,1,1,1,upi,IN,IN,186,2.31,4242.6,1.1,0,0,1,1,1,1
TXN-10004,CUSTOMER-14427,5760.16,12,955,24,0,1,1,1,1,1,upi,IN,IN,332,1.59,3567.85,1.61,0,0,0,2,0,0
TXN-10005,CUSTOMER-13445,4592.66,19,915,8,0,0,1,7,1,0,credit_card,IN,IN,165,4.18,2873.35,1.6,0,0,1,3,0,1
TXN-10006,CUSTOMER-13172,2284.95,19,97,17,0,0,1,1,1,1,upi,IN,IN,469,2.74,1377.13,1.66,0,0,0,0,0,0
TXN-10007,CUSTOMER-12920,1686.01,9,630,13,0,0,1,1,1,0,credit_card,DE,DE,103,2.82,2275.49,0.74,0,0,0,3,0,0
TXN-10008,CUSTOMER-10131,5545.6,0,225,32,0,0,1,7,0,0,credit_card,DE,IN,24,3.51,2943.36,1.88,0,1,1,2,0,1
TXN-10009,CUSTOMER-11686,3621.86,1,446,42,0,0,1,1,1,1,credit_card,IN,IN,384,1.5,2253.0,1.61,0,0,0,0,0,0
TXN-10010,CUSTOMER-10770,2211.11,16,886,16,0,0,6,1,1,1,net_banking,IN,IN,53,2.75,2613.6,0.85,0,1,1,3,0,1
TXN-10011,CUSTOMER-12392,4272.21,21,663,12,0,1,7,7,0,1,net_banking,US,DE,36,0.91,2403.15,1.78,1,1,0,3,0,1
TXN-10012,CUSTOMER-12434,3378.3,2,475,20,0,1,1,1,1,1,credit_card,IN,IN,4,0.97,3320.89,1.02,1,0,0,2,0,0
TXN-10013,CUSTOMER-11185,29089.68,16,202,13,0,0,1,1,1,1,net_banking,IN,IN,4,2.02,4574.49,6.36,1,1,1,3,0,1
TXN-10014,CUSTOMER-14556,1671.72,11,967,20,0,0,1,1,1,1,credit_card,US,US,328,3.71,2633.73,0.63,0,0,0,2,0,0
TXN-10015,CUSTOMER-13386,607.53,23,674,23,0,4,1,6,1,1,net_banking,IN,IN,313,0.1,444.94,1.37,0,0,0,0,0,1
TXN-10016,CUSTOMER-14118,4567.13,11,296,25,0,0,1,6,1,1,credit_card,IN,IN,128,4.59,3081.74,1.48,0,0,0,1,0,0
TXN-10017,CUSTOMER-14844,2103.47,19,633,13,0,1,1,1,1,1,debit_card,JP,JP,235,4.67,2418.09,0.87,0,0,2,2,0,1
TXN-10018,CUSTOMER-12905,4398.08,9,15,3,0,0,1,3,1,1,credit_card,IN,IN,272,1.63,2589.82,1.7,0,0,0,1,0,0
TXN-10019,CUSTOMER-10475,2303.92,6,377,24,0,6,1,1,1,1,debit_card,IN,IN,365,2.43,2257.28,1.02,0,0,0,0,0,1
TXN-10020,CUSTOMER-11083,4012.44,9,335,26,0,1,1,1,1,1,credit_card,IN,IN,423,4.22,3176.12,1.26,0,0,0,0,1,1
TXN-10021,CUSTOMER-12559,1819.69,17,617,8,0,3,1,1,1,1,debit_card,IN,IN,192,1.49,3461.55,0.53,0,0,0,3,0,0
TXN-10022,CUSTOMER-12048,5661.58,21,773,16,0,0,2,1,1,1,debit_card,IN,IN,4,3.17,2835.56,2.0,1,0,0,3,0,1
TXN-10023,CUSTOMER-12748,2032.28,5,19,19,1,5,2,2,1,0,credit_card,SG,SG,5,4.64,2249.74,0.9,1,0,0,1,1,1
TXN-10024,CUSTOMER-10976,1626.31,6,439,13,0,0,1,6,1,1,credit_card,IN,IN,105,1.68,863.07,1.88,0,1,0,1,0,1
TXN-10025,CUSTOMER-11807,1658.1,16,243,9,2,0,1,1,1,1,credit_card,AE,AE,166,0.74,1480.07,1.12,0,0,0,0,1,1
TXN-10026,CUSTOMER-10190,1414.16,11,243,16,0,1,1,1,1,0,credit_card,DE,DE,377,2.46,3146.89,0.45,0,0,0,3,0,0
TXN-10027,CUSTOMER-12735,1552.12,16,970,28,0,6,1,1,0,1,credit_card,IN,AU,44,0.17,1088.81,1.43,0,1,0,0,0,1
TXN-10028,CUSTOMER-13006,1965.63,17,391,16,0,7,1,1,1,1,upi,IN,IN,434,2.06,1012.36,1.94,0,0,0,1,0,1
TXN-10029,CUSTOMER-14659,2710.42,13,723,20,0,0,1,4,1,0,debit_card,IN,IN,488,2.33,2520.88,1.08,0,0,0,0,0,0
TXN-10030,CUSTOMER-11900,4082.37,10,735,40,0,4,1,1,1,1,debit_card,IN,IN,141,4.07,2943.56,1.39,0,0,1,2,0,1
TXN-10031,CUSTOMER-11268,4057.96,1,864,21,0,0,4,4,1,0,credit_card,SG,SG,31,3.64,3993.85,1.02,0,1,2,4,0,1
TXN-10032,CUSTOMER-11529,3115.85,20,261,15,1,0,1,6,1,0,upi,IN,IN,107,0.21,2698.18,1.15,0,0,3,12,1,1
TXN-10033,CUSTOMER-13203,8344.16,0,219,14,0,1,1,1,1,1,upi,IN,IN,482,4.68,1966.89,4.24,0,0,3,14,0,1
TXN-10034,CUSTOMER-13557,3172.12,10,7,24,0,0,2,5,1,1,upi,IN,IN,8,1.94,1933.76,1.64,1,0,2,5,0,1
TXN-10035,CUSTOMER-13891,311.11,1,445,19,0,0,1,7,1,1,debit_card,IN,IN,430,0.64,312.91,0.99,0,0,1,3,0,1
TXN-10036,CUSTOMER-10647,2524.69,15,13,18,0,0,1,1,1,1,debit_card,US,US,2,2.38,1569.88,1.61,1,1,2,5,0,1
TXN-10037,CUSTOMER-12889,1354.9,21,386,18,0,1,2,2,1,1,upi,US,US,5,4.29,2599.33,0.52,1,0,0,1,0,0
TXN-10038,CUSTOMER-12436,2918.89,2,641,16,0,1,1,1,1,1,debit_card,JP,JP,438,3.98,2576.73,1.13,0,0,4,15,0,1
TXN-10039,CUSTOMER-10601,3578.43,19,21,27,0,1,1,1,1,1,credit_card,SG,SG,5,3.74,2172.43,1.65,1,0,2,3,0,1
TXN-10040,CUSTOMER-12364,3976.95,0,224,21,0,0,1,1,1,1,credit_card,US,US,174,2.71,2728.93,1.46,0,1,2,2,0,0
TXN-10041,CUSTOMER-12062,2400.3,20,234,14,0,0,1,1,1,1,upi,DE,DE,185,0.12,2845.23,0.84,0,0,2,2,0,0
TXN-10042,CUSTOMER-10242,5113.24,19,340,29,0,0,1,1,1,0,credit_card,IN,IN,27,1.34,4133.54,1.24,0,0,9,20,0,1
TXN-10043,CUSTOMER-12042,1089.93,7,965,14,0,1,2,2,1,1,upi,IN,IN,3,1.66,2106.29,0.52,1,0,1,3,0,1
TXN-10044,CUSTOMER-12825,3039.34,18,999,24,0,1,1,1,1,1,credit_card,IN,IN,227,2.0,3246.7,0.94,0,0,2,2,0,0
TXN-10045,CUSTOMER-12613,1234.97,0,710,16,0,1,1,1,1,1,credit_card,FR,FR,488,1.45,1453.11,0.85,0,0,1,2,0,0
TXN-10046,CUSTOMER-11364,3249.57,4,133,17,0,0,1,1,1,1,credit_card,IN,IN,191,2.33,2359.61,1.38,0,0,0,2,0,0
TXN-10047,CUSTOMER-11479,1401.59,0,177,18,0,0,1,1,1,1,credit_card,IN,IN,90,1.2,1652.53,0.85,0,0,5,15,0,1
TXN-10048,CUSTOMER-12557,2138.74,10,555,10,0,1,1,1,1,1,credit_card,IN,IN,281,4.58,2098.88,1.02,0,0,0,1,0,0
TXN-10049,CUSTOMER-10776,1720.15,20,519,30,1,0,1,1,1,1,debit_card,IN,IN,361,2.55,3866.02,0.44,0,0,0,0,1,1
TXN-10050,CUSTOMER-14015,4925.32,8,791,22,0,0,1,7,1,1,net_banking,IN,IN,77,0.16,3577.95,1.38,0,0,0,3,0,0
TXN-10051,CUSTOMER-10035,2978.14,4,538,10,0,1,1,1,1,1,upi,IN,IN,6,0.58,2713.5,1.1,1,0,1,3,0,0
TXN-10052,CUSTOMER-13153,9757.93,1,436,16,0,0,1,1,1,0,credit_card,IN,IN,41,2.36,2511.23,3.89,0,1,0,2,0,1
TXN-10053,CUSTOMER-11956,3630.52,12,50,24,1,0,1,1,1,0,credit_card,CA,CA,437,4.39,1827.94,1.99,0,0,0,0,1,1
TXN-10054,CUSTOMER-11586,2111.53,17,923,11,0,2,1,1,1,1,credit_card,IN,IN,382,0.24,2592.59,0.81,0,0,0,3,0,0
TXN-10055,CUSTOMER-13944,2555.48,11,442,17,0,0,1,1,1,1,credit_card,US,US,375,2.88,1723.77,1.48,0,0,1,1,0,0
TXN-10056,CUSTOMER-13074,3282.07,13,580,17,1,1,1,1,0,0,debit_card,CA,FR,24,1.68,4770.19,0.69,0,1,1,1,1,1
TXN-10057,CUSTOMER-11022,1562.23,4,978,34,0,0,1,1,1,1,credit_card,CA,CA,453,2.85,2724.0,0.57,0,0,0,3,0,0
TXN-10058,CUSTOMER-13462,3827.43,23,968,23,1,0,1,1,1,1,credit_card,IN,IN,157,3.14,1233.08,3.1,0,1,0,3,1,1
TXN-10059,CUSTOMER-12614,3035.06,9,280,19,1,0,1,1,1,1,credit_card,IN,IN,341,1.15,2613.66,1.16,0,0,0,1,1,1
TXN-10060,CUSTOMER-13844,2785.14,19,43,16,0,1,1,3,1,1,credit_card,IN,IN,442,2.82,2239.55,1.24,0,0,0,1,0,0
TXN-10061,CUSTOMER-11501,4449.0,1,686,24,0,2,3,3,1,1,debit_card,IN,IN,50,2.58,3088.56,1.44,0,0,0,1,0,1
TXN-10062,CUSTOMER-14799,3968.85,3,630,11,0,5,1,1,1,1,debit_card,IN,IN,11,4.92,2038.26,1.95,0,1,1,3,0,1
TXN-10063,CUSTOMER-10162,3658.73,11,364,21,0,1,1,1,1,1,credit_card,JP,JP,32,4.82,2539.43,1.44,0,0,0,2,0,0
TXN-10064,CUSTOMER-14298,1080.35,10,887,7,0,1,8,8,1,1,debit_card,IN,IN,11,1.3,1274.01,0.85,0,0,0,3,0,1
